Codigo,Nome,CodCurto,PVPBase,PesoBrt,Marca,Familia,NomeXtra,GAMA,Familia,subfamilia,stock
GRN1540,Rádio Portátil Grundig Music 60 Red,GRN1540,"45,00",1,GRUNDIG,235,"Rádio mesa. Sintonizador analógico. FM mono/AM/OL. Altifalante integrado . Entrada para Headphone.  Antena telescópica. Funcionamento a 230V e a pilhas  4 x LR14. Medidas: 24,7x12,7x6,2 cm. Cor: Branco",IMAGEM E SOM,AUDIO PORTATIL,RADIOS PORTATEIS,sim
GRN1510,Rádio Portátil Grundig Music 60 Silver,GRN1510,"45,00",1,GRUNDIG,235,"Rádio mesa. Sintonizador analógico. FM mono/AM/OL. Altifalante integrado . Entrada para Headphone.  Antena telescópica. Funcionamento a 230V e a pilhas  4 x LR14. Medidas: 24,7x12,7x6,2 cm. Cor: Silver.",IMAGEM E SOM,AUDIO PORTATIL,RADIOS PORTATEIS,sim
GRN1520,Rádio Portátil Grundig Music 60 White,GRN1520,"45,00",1,GRUNDIG,235,"Rádio mesa. Sintonizador analógico. FM mono/AM/OL. Altifalante integrado . Entrada para Headphone.  Antena telescópica. Funcionamento a 230V e a pilhas  4 x LR14. Medidas: 24,7x12,7x6,2 cm. Cor: Branco",IMAGEM E SOM,AUDIO PORTATIL,RADIOS PORTATEIS,sim
GRN1410,Rádio Portátil Grundig Music 61 Black,GRN1410,"50,00",1,GRUNDIG,235,"Rádio mesa. Sintonizador analógico. FM mono/AM/OL. Altifalante integrado . Entrada para Headphone.  Antena telescópica. Funcionamento a 230V e a pilhas  4 x LR14. Medidas: 24,7x12,7x6,2 cm. Cor: Branco",IMAGEM E SOM,AUDIO PORTATIL,RADIOS PORTATEIS,sim
GRN1400,Rádio Portátil Grundig Music 61 White,GRN1400,"50,00",1,GRUNDIG,235,"Rádio mesa. Sintonizador analógico. FM mono/AM/OL. Altifalante integrado . Entrada para Headphone.  Antena telescópica. Funcionamento a 230V e a pilhas  4 x LR14. Medidas: 24,7x12,7x6,2 cm. Cor: Branco",IMAGEM E SOM,AUDIO PORTATIL,RADIOS PORTATEIS,sim
GRR2740,Rádio Portátil Grundig TR 1200 Oak,GRR2740,"150,00","2,6",GRUNDIG,235,"Rádio mesa c/look retro. Controlador de ajuste de precisão. Recepção FM. Colunas baixo reflexo . Ligação auriculares. Habitação de madeira c/folheado de madeira de alta qualidade. AUX input.  Antena telescópica. Funcionamento a 230V. Medidas: 24,3x13,5x16 cm.",IMAGEM E SOM,AUDIO PORTATIL,RADIOS PORTATEIS,sim
375004367190,Arca Horizontal Hisense FT-130D4AW1,67190,"187,00",26,HISENSE,120,98 L / 98 L | Classe A+ | 837 x 563 x 519 mm (A x L x P),GRANDES DOMÉSTICOS,CONGELADORES,HORIZONTAIS,não
375004367192,Arca Horizontal Hisense FT-267D4AW1,67192,"259,00",37,HISENSE,120,205 L / 205 L | Classe A+ | 825 x 946 x 567 mm (A x L x P),GRANDES DOMÉSTICOS,CONGELADORES,HORIZONTAIS,não
375004367193,Arca Horizontal Hisense FT-325D4AW1,67193,"305,00",41,HISENSE,120,250 L / 250 L | Classe A+ | 832 x 1115 x 607 mm (A x L x P),GRANDES DOMÉSTICOS,CONGELADORES,HORIZONTAIS,não
375004367185,Arca Horizontal Hisense FT-403D4AW1,67185,"325,00",50,HISENSE,120,306 L / 306 L | Classe A+ | 830 x 1125 x 675 mm (A x L x P),GRANDES DOMÉSTICOS,CONGELADORES,HORIZONTAIS,não
350004046281,Congelador Horizontal Beko HS 210520,46281,"226,00",33,BEKO,120,Horizontal | 107 L / 104 L | Classe A+ (181 Kwh/ano) | 860 x 537 x 610 mm ( A x L x P ),GRANDES DOMÉSTICOS,CONGELADORES,HORIZONTAIS,sim
350004046370,Congelador Horizontal Beko HS 221520,46370,"243,00",40,BEKO,120,205 L / 187 L | Classe A+ | 912 x 751 x 725 (A x L x P),GRANDES DOMÉSTICOS,CONGELADORES,HORIZONTAIS,sim
350004046299,Congelador Horizontal Beko HS 222540,46299,"445,00",55,BEKO,120,277 L / 220 L | Classe A+++ | 860 x 1285 x 725 (A x L x P),GRANDES DOMÉSTICOS,CONGELADORES,HORIZONTAIS,sim
350004046287,Congelador Horizontal Beko HSA 29530,46287,"463,00",55,BEKO,120,288 L / 284 L | Classe A++ | 860 x 1285 x 725 mm (A x L x P),GRANDES DOMÉSTICOS,CONGELADORES,HORIZONTAIS,sim
350004046283,Congelador Horizontal Beko HSA 32520,46283,"357,00",49,BEKO,120,310 L / 298 L | Classe A+ | 860 x 1101 x 725 (A x L x P),GRANDES DOMÉSTICOS,CONGELADORES,HORIZONTAIS,sim
350004046135,Congelador Horizontal Beko HSA 32540 GD,46135,"452,00",43,BEKO,120,300 L | Classe B | 860 x 1100 x 725 (A x L x P) | Glass Door,GRANDES DOMÉSTICOS,CONGELADORES,HORIZONTAIS,sim
350004046289,Congelador Horizontal Beko HSA 37530,46289,"523,00",56,BEKO,120,369 L / 350 L | Classe A++ | 860 x 1552 x 725 mm (A x L x P),GRANDES DOMÉSTICOS,CONGELADORES,HORIZONTAIS,sim
350004046286,Congelador Horizontal Beko HSA 40520,46286,"393,00",55,BEKO,120,374 L / 360 L| Classe A+ | 860 x 1285 x 725 mm (A x L x P),GRANDES DOMÉSTICOS,CONGELADORES,HORIZONTAIS,sim
350004046288,Congelador Horizontal Beko HSA 47520,46288,"471,00",56,BEKO,120,467 L / 451 L | Classe A+ | 860 x 1552 x 725 mm (A x L x P),GRANDES DOMÉSTICOS,CONGELADORES,HORIZONTAIS,sim
350013046495,Congelador Vert.  Beko RFNE 200E20 W,46495,"397,00",47,BEKO,120,No Frost | 190 L / 157 L | 5 Gavetas | Classe A+ | 1456 x 540 x 595 mm (A x L x P),GRANDES DOMÉSTICOS,CONGELADORES,VERTICAIS,sim
350013046310,Congelador Vert.  Beko RFNE 270K21 W,46310,"423,00",56,BEKO,120,No Frost | 270 L / 214 L | 6 Gavetas | Classe A+ | 1510 x 595 x 650 mm (A x L x P),GRANDES DOMÉSTICOS,CONGELADORES,VERTICAIS,sim
350013046311,Congelador Vert.  Beko RFNE 290L21 W,46311,"480,00",62,BEKO,120,No Frost | 290 L / 250 L | 7 Gavetas | Classe A+ | 1710 x 595 x 650 mm (A x L x P),GRANDES DOMÉSTICOS,CONGELADORES,VERTICAIS,sim
350013046780,Congelador Vert.  Beko RFNE 290L21 X,46780,"544,00","74,5",BEKO,120,No Frost | 290 L / 250 L | 7 Gavetas | Classe A+ | 1710 x 595 x 650 mm (A x L x P),GRANDES DOMÉSTICOS,CONGELADORES,VERTICAIS,sim
350013046781,Congelador Vert.  Beko RFNE 312E33 W,46781,"669,00",62,BEKO,120,No Frost | 312 L / 275 L | 8 Gavetas | Classe A++ | 1845 x 595 x 650 mm (A x L x P),GRANDES DOMÉSTICOS,CONGELADORES,VERTICAIS,sim
