Codigo,Nome,CodCurto,PVPBase,PesoBrt,Marca,Familia,NomeXtra,Gama,Familia,SubFamilia,status
350032047127,Maquina Lavar Beko WMP 12744 XST,47127,675,79,BEKO,135,1400 RPM Variável - 12 Kg - Motor ProSmart Inverter - Óculo Grande XL - LCD Display (grande) - Eletrónica - Classe A+++-10AB,GRANDES DOMÉSTICOS,MAQUINAS LAVAR ROUPA,MLR CARGA FRONTAL,sim
350032047181,Maquina Lavar Beko WMP 8744 XD,47181,515,72,BEKO,135,1200 RPM Variável - 8 Kg - Óculo Grande XL - Electrónica - Mini LCD Display - Classe A+++AB -  Inox,GRANDES DOMÉSTICOS,MAQUINAS LAVAR ROUPA,MLR CARGA FRONTAL,sim
350032047176,Maquina Lavar Beko WMY 121444 LB1,47176,659,85,BEKO,135,1400 RPM Variável - 12 Kg - Óculo Grande XL - Electrónica - Classe A++,GRANDES DOMÉSTICOS,MAQUINAS LAVAR ROUPA,MLR CARGA FRONTAL,não
350032047163,Maquina Lavar Beko WMY 71083 LMXB2,47163,399,64,BEKO,135,1000 RPM Variável - 7 Kg - Display Digital - Classe A+++ - Inox,GRANDES DOMÉSTICOS,MAQUINAS LAVAR ROUPA,MLR CARGA FRONTAL,não
350032047180,Maquina Lavar Beko WMY 71283 LMXB3,47180,407,65,BEKO,135,1200 RPM Variável - 7 Kg - Óculo Grande XL - Electrónica - Volumax - Display Digital - Classe A+++AB,GRANDES DOMÉSTICOS,MAQUINAS LAVAR ROUPA,MLR CARGA FRONTAL,não
350032047160,Maquina Lavar Beko WMY 71283 PTLMB2,47160,346,65,BEKO,135,1200 RPM Variável - 7 Kg - Óculo Grande XL - Electrónica - Volumax - Display Digital - Classe A+++AB,GRANDES DOMÉSTICOS,MAQUINAS LAVAR ROUPA,MLR CARGA FRONTAL,não
350032047174,Maquina Lavar Beko WMY 81283 LMB3,47174,357,72,BEKO,135,1200 RPM Variável - 8 Kg - Óculo Grande XL - Electrónica - Volumax - Display Digital - Classe A+++AB,GRANDES DOMÉSTICOS,MAQUINAS LAVAR ROUPA,MLR CARGA FRONTAL,sim
350032047162,Maquina Lavar Beko WMY 81283 LMXB2,47162,496,72,BEKO,135,1200 RPM Variável - 8 Kg - Óculo Grande - Electrónica - Classe A++,GRANDES DOMÉSTICOS,MAQUINAS LAVAR ROUPA,MLR CARGA FRONTAL,não
350032047173,Maquina Lavar Beko WMY 81483 LMB2,47173,367,72,BEKO,135,1400 RPM Variável - 8 Kg - Óculo Grande XL - Electrónica - Volumax - Display Digital - Classe A+++AB,GRANDES DOMÉSTICOS,MAQUINAS LAVAR ROUPA,MLR CARGA FRONTAL,sim
350032047129,Maquina Lavar Beko WMY 81483 LMXB3,47129,515,72,BEKO,135,1400 RPM Variável - 8 Kg - Óculo Grande - Electrónica - Classe A++,GRANDES DOMÉSTICOS,MAQUINAS LAVAR ROUPA,MLR CARGA FRONTAL,sim
350032047190,Maquina Lavar Beko WMY 8736 XSX BT,47190,462,71,BEKO,135,1400 RPM Variável - 8 Kg - Motor ProSmart Inverter - Óculo Grande - Electrónica - Display Digital-Classe A+++-AB,GRANDES DOMÉSTICOS,MAQUINAS LAVAR ROUPA,MLR CARGA FRONTAL,sim
350032047170,Maquina Lavar Beko WMY 91443 LB1,47170,455,77,BEKO,135,1400 RPM Variável - 9 Kg - Óculo Grande XL - LCD Display (grande) - Eletrónica - Classe A++,GRANDES DOMÉSTICOS,MAQUINAS LAVAR ROUPA,MLR CARGA FRONTAL,sim
350032047178,Maquina Lavar Beko WMY 91483 LB3,47178,455,77,BEKO,135,1400 RPM Variável - 9 Kg - Óculo Grande XL - LCD Display (grande) - Eletrónica - Classe A++,GRANDES DOMÉSTICOS,MAQUINAS LAVAR ROUPA,MLR CARGA FRONTAL,não
350032047188,Maquina Lavar Beko WQP 10747 XSW D,47188,615,76,BEKO,135,1400 RPM Variável - 10 Kg - Óculo Grande XL - Motor ProSmart Inverter - LCD Display (grande) - Auto Dosing - AquaTech - Classe A+++-30AB - Home Wiz,GRANDES DOMÉSTICOS,MAQUINAS LAVAR ROUPA,MLR CARGA FRONTAL,sim
350032047187,Maquina Lavar Beko WQY 9736 XSW BT,47187,499,76,BEKO,135,1400 RPM Variável - 9 Kg - Óculo Grande XL - Motor ProSmart Inverter - LCD Display (grande) - AquaTech - Classe A+++-30AB - Home Wiz,GRANDES DOMÉSTICOS,MAQUINAS LAVAR ROUPA,MLR CARGA FRONTAL,sim
350032047185,Maquina Lavar Beko WTA 10712 XSW,47185,425,75,BEKO,135,1400 RPM Variável - 10 Kg - Óculo Grande XL - Motor ProSmart Inverter - LCD Display (grande) - Eletrónica - Classe A+++-10AB,GRANDES DOMÉSTICOS,MAQUINAS LAVAR ROUPA,MLR CARGA FRONTAL,sim
350032047182,Maquina Lavar Beko WTA 7612 XSW,47182,329,61,BEKO,135,1200 RPM Variável - 7 Kg - Óculo Grande XL - Electrónica - Volumax - Display Digital - Classe A+++AB,GRANDES DOMÉSTICOS,MAQUINAS LAVAR ROUPA,MLR CARGA FRONTAL,sim
350032047183,Maquina Lavar Beko WTA 8612 XSW,47183,357,67,BEKO,135,1200 RPM Variável - 8 Kg - Óculo Grande XL - Electrónica - Volumax - Display Digital - Classe A+++AB,GRANDES DOMÉSTICOS,MAQUINAS LAVAR ROUPA,MLR CARGA FRONTAL,sim
350032047186,Maquina Lavar Beko WTA 8716 DSW BT,47186,375,72,BEKO,135,1400 RPM Variável - 8 Kg - Óculo Grande XL - Electrónica - Volumax - Display Digital - Classe A+++-30AB - Home Wiz,GRANDES DOMÉSTICOS,MAQUINAS LAVAR ROUPA,MLR CARGA FRONTAL,sim
350032047191,Maquina Lavar Beko WTA 9612 XSW,47191,379,75,BEKO,135,1200 RPM Variável - 9 Kg - Óculo Grande XL - Motor ProSmart Inverter - LCD Display (grande) - Eletrónica - Classe A+++-10AB,GRANDES DOMÉSTICOS,MAQUINAS LAVAR ROUPA,MLR CARGA FRONTAL,sim
350032047184,Maquina Lavar Beko WTA 9712 XSW,47184,405,72,BEKO,135,1400 RPM Variável - 9 Kg - Óculo Grande XL - Motor ProSmart Inverter - LCD Display (grande) - Eletrónica - Classe A+++-10AB,GRANDES DOMÉSTICOS,MAQUINAS LAVAR ROUPA,MLR CARGA FRONTAL,sim
350032047130,Maquina Lavar Beko WTE 6511 BW,47130,269,59,BEKO,135,1000 RPM Variável | 6 Kg | Óculo Grande XL | LED Display | Classe A+++AC,GRANDES DOMÉSTICOS,MAQUINAS LAVAR ROUPA,MLR CARGA FRONTAL,sim
350032047131,Maquina Lavar Beko WTE 7532 BCX,47131,365,76,BEKO,135,1000 RPM Variável - 7 Kg - Display Digital 7 segmentos - Classe A++AC - Inox,GRANDES DOMÉSTICOS,MAQUINAS LAVAR ROUPA,MLR CARGA FRONTAL,sim
350032047189,Maquina Lavar Beko WTE 7611 BW,47189,299,63,BEKO,135,1200 RPM Variável - 7 Kg - Óculo Grande XL - Electrónica - Volumax - Display Digital - Classe A+++AC,GRANDES DOMÉSTICOS,MAQUINAS LAVAR ROUPA,MLR CARGA FRONTAL,sim
350032047169,Maquina Lavar Beko WTV 8602 XSOX,47169,440,72,BEKO,135,1200 RPM Variável - 8 Kg - Óculo Grande XL - Electrónica - Mini LCD Display - Classe A+++AB -  Inox,GRANDES DOMÉSTICOS,MAQUINAS LAVAR ROUPA,MLR CARGA FRONTAL,não
350032047128,Maquina Lavar Beko WTV 8632 XCX,47128,440,72,BEKO,135,1200 RPM Variável - 8 Kg - Óculo Grande XL - Electrónica - Mini LCD Display - Classe A+++AB -  Inox,GRANDES DOMÉSTICOS,MAQUINAS LAVAR ROUPA,MLR CARGA FRONTAL,sim
350032047126,Maquina Lavar Beko WTV 9612 XWO,47126,390,74,BEKO,135,1200 RPM Variável - 9 Kg - Óculo Grande XL - Electrónica - LCD Display - Alumínio - Classe A+++AB,GRANDES DOMÉSTICOS,MAQUINAS LAVAR ROUPA,MLR CARGA FRONTAL,sim
350032047499,Maquina Lavar e Secar Beko HITV 8733 BO,47499,660,60,BEKO,115,1400 RPM Variável | 8 Kg | Classe A | 5 Kg secagem,GRANDES DOMÉSTICOS,ENCASTRE - MAQ.L.ROUPA,MAQ.LAVAR/SECAR ROUPA,sim
350032047495,Maquina Lavar e Secar Beko HTV 8633 XSO,47495,515,60,BEKO,135,1200 RPM Variável | 8 Kg | Classe A+AD | 5 Kg secagem,GRANDES DOMÉSTICOS,MAQUINAS LAVAR ROUPA,MLR LAVAR E SECAR ROUPA,não
350032047497,Maquina Lavar e Secar Beko HTV 8716 DSW BT,47497,510,70,BEKO,135,1200 RPM Variável | 8 Kg | Classe A+AD | 5 Kg secagem,GRANDES DOMÉSTICOS,MAQUINAS LAVAR ROUPA,MLR LAVAR E SECAR ROUPA,sim
350032047496,Maquina Lavar e Secar Beko HTV 8733 XS0,47496,520,70,BEKO,135,1200 RPM Variável | 8 Kg | Classe A+AD | 5 Kg secagem,GRANDES DOMÉSTICOS,MAQUINAS LAVAR ROUPA,MLR CARGA FRONTAL,sim
355032059301,Maquina Lavar Grundig GWN 37430,59301,437,75,GRUNDIG,135,1400 RPM Variável - 7 Kg - Óculo Grande XL - Electrónica - Volumax - Display Digital - Classe A+++AB,GRANDES DOMÉSTICOS,MAQUINAS LAVAR ROUPA,MLR CARGA FRONTAL,sim
