Tabela gerada em:2020-04-21 10:04:24;;;;;;;;;;;;;
;;;;;;;;;;;;;
Listagem de produtos jp.di;;;;;;;;;;;;;
EAN;Ref. Fabricante;Designação;Preço Final;Stock;Unidade Negócio;Linha Produto;Família;Sub-Família;Categoria;Marca;Data modificação;Preço Unitário;Taxa
 0000000000000;MK-5145-31A38;Scanner Laser Honeywell USB Eclipse Black - MK-5145-31A38;EUR 42,99 ;Imediata;Periféricos;Acessorios;Sistemas de POS;Leitores Cod Barras;;HONEYWELL;2020-04-21 06:06:59;EUR 42,99 ;EUR 0,00 
 4977766667012;DR230CL;Tambor BROTHER DR-230CL P/HL-3040CN, HL3070CW;EUR 79,13 ;Imediata;Supplies;Laser;Toners;;;BROTHER;2020-04-21 06:06:59;EUR 79,13 ;EUR 0,00 
 4977766654166;DR2100;Tambor BROTHER DR-2100 P/2140,2150N,2170W,7030,7320;EUR 63,30 ;Imediata;Supplies;Laser;Toners;;;BROTHER;2020-04-21 06:06:59;EUR 63,30 ;EUR 0,00 
 4977766679442;TN328M;Toner BROTHER TN-328M MagentaP/HL-4570CDW,9270CDN,9970CDW;EUR 141,37 ;Imediata;Supplies;Laser;Toners;;;BROTHER;2020-04-21 06:06:59;EUR 141,37 ;EUR 0,00 
 4977766630726;TN2000;Toner BROTHER TN-2000 P/2030,204,2070N,2820,7010,7420,7820N;EUR 57,28 ;Imediata;Supplies;Laser;Toners;;;BROTHER;2020-04-21 06:06:59;EUR 57,28 ;EUR 0,00 
 4977766662376;TN2005;Toner BROTHER TN-2005 P/2035;EUR 39,89 ;Imediata;Supplies;Laser;Toners;;;BROTHER;2020-04-21 06:06:59;EUR 39,89 ;EUR 0,00 
 4977766654180;TN2110;Toner BROTHER TN-2110 Preto P/2140/2150N/2170W/7045N/7840W;EUR 37,27 ;Imediata;Supplies;Laser;Toners;;;BROTHER;2020-04-21 06:06:59;EUR 37,27 ;EUR 0,00 
 4977766654203;TN2120;Toner BROTHER TN-2120 Preto P/2140/2150N/2170W/7045N/7840W;EUR 54,46 ;Imediata;Supplies;Laser;Toners;;;BROTHER;2020-04-21 06:06:59;EUR 54,46 ;EUR 0,00 
 4977766666954;TN230BK;Toner BROTHER TN-230BK Preto P/HL-3040,3070/MFC-9120,9320;EUR 52,45 ;Imediata;Supplies;Laser;Toners;;;BROTHER;2020-04-21 06:06:59;EUR 52,45 ;EUR 0,00 
 4977766666985;TN230C;Toner BROTHER TN-230C Cyan P/HL-3040CN, HL3070CW,9320;EUR 50,68 ;Imediata;Supplies;Laser;Toners;;;BROTHER;2020-04-21 06:06:59;EUR 50,68 ;EUR 0,00 
 4977766666978;TN230M;Toner BROTHER TN-230M MagentaP/HL-3040CN, HL3070CW,9320;EUR 50,68 ;Imediata;Supplies;Laser;Toners;;;BROTHER;2020-04-21 06:06:59;EUR 50,68 ;EUR 0,00 
 4977766666961;TN230Y;Toner BROTHER TN-230Y AmareloP/HL-3040CN, HL3070CW,9320;EUR 50,68 ;Imediata;Supplies;Laser;Toners;;;BROTHER;2020-04-21 06:06:59;EUR 50,68 ;EUR 0,00 
 4977766665988;TN3280;Toner BROTHER TN-3280 P/DCP8085DN/8880DNE MFC-8890DW;EUR 97,24 ;Imediata;Supplies;Laser;Toners;;;BROTHER;2020-04-21 06:06:59;EUR 97,24 ;EUR 0,00 
 0010343604575;C13S050166;Toner EPSON S050166 Unidade de Revelação Preto 6K - EPL-6200;EUR 105,47 ;Limitado;Supplies;Laser;Toners;;;EPSON;2020-04-21 06:06:59;EUR 105,47 ;EUR 0,00 
 0010343605886;C13S050191;Toner EPSON S050191 Amarelo 1,5K - AcuLaser C1000/CX11;EUR 77,05 ;Limitado;Supplies;Laser;Toners;;;EPSON;2020-04-21 06:06:59;EUR 77,05 ;EUR 0,00 
 0010343858084;C13S051125;Toner EPSON S051125 Magenta 9K - AcuLaser C3800;EUR 231,12 ;Limitado;Supplies;Laser;Toners;;;EPSON;2020-04-21 06:06:59;EUR 231,12 ;EUR 0,00 
 0010343858091;C13S051126;Toner EPSON S051126 Ciano 9K - AcuLaser C3800;EUR 231,12 ;Imediata;Supplies;Laser;Toners;;;EPSON;2020-04-21 06:06:59;EUR 231,12 ;EUR 0,00 
 0010343858107;C13S051127;Toner EPSON S051127 Preto 9,5K - AcuLaser C3800;EUR 168,12 ;Limitado;Supplies;Laser;Toners;;;EPSON;2020-04-21 06:06:59;EUR 168,12 ;EUR 0,00 
 8715946404592;C13S050437;Toner EPSON S050437 de Retorno 8K - AcuLaser M2000;EUR 132,60 ;Limitado;Supplies;Laser;Toners;;;EPSON;2020-04-21 06:06:59;EUR 132,60 ;EUR 0,00 
 8715946412535;C13S050475;Toner EPSON S050475 Magenta 14K - AcuLaser C9200;EUR 278,50 ;Limitado;Supplies;Laser;Toners;;;EPSON;2020-04-21 06:06:59;EUR 278,50 ;EUR 0,00 
 8715946412542;C13S050476;Toner EPSON S050476 Ciano 14K - AcuLaser C9200;EUR 278,50 ;Limitado;Supplies;Laser;Toners;;;EPSON;2020-04-21 06:06:59;EUR 278,50 ;EUR 0,00 
 0882780905207;CB435A;Toner Preto HP LaserJet P1005/1006 - CB435A;EUR 56,43 ;Imediata;Supplies;Laser;Toners;;;HP;2020-04-21 06:06:59;EUR 56,43 ;EUR 0,00 
 0882780905221;CB436A;Toner Preto HP LaserJet P15052K - CB436A;EUR 61,73 ;Imediata;Supplies;Laser;Toners;;;HP;2020-04-21 06:06:59;EUR 61,73 ;EUR 0,00 
 0808736839174;CB540A;Toner HP Black Color LaserJet- CB540A;EUR 65,76 ;Imediata;Supplies;Laser;Toners;;;HP;2020-04-21 06:06:59;EUR 65,76 ;EUR 0,00 
 0808736839181;CB541A;Toner HP Cyan Color LaserJet- CB541A;EUR 60,18 ;Imediata;Supplies;Laser;Toners;;;HP;2020-04-21 06:06:59;EUR 60,18 ;EUR 0,00 
 0808736839198;CB542A;Toner HP Amarelo Color LaserJet - CB542A;EUR 60,03 ;Imediata;Supplies;Laser;Toners;;;HP;2020-04-21 06:06:59;EUR 60,03 ;EUR 0,00 
 0808736839204;CB543A;Toner HP Magenta Color LaserJet - CB543A;EUR 60,25 ;Imediata;Supplies;Laser;Toners;;;HP;2020-04-21 06:06:59;EUR 60,25 ;EUR 0,00 
 0883585301492;CC530A;Toner Preto HP Color LaserJetCP2025/CM2320 - CC530A;EUR 97,57 ;Imediata;Supplies;Laser;Toners;;;HP;2020-04-21 06:06:59;EUR 97,57 ;EUR 0,00 
 0883585301508;CC531A;Toner Cyan HP Color LaserJet CP2025/CM2320 - CC531A;EUR 97,90 ;Imediata;Supplies;Laser;Toners;;;HP;2020-04-21 06:06:59;EUR 97,90 ;EUR 0,00 
 0883585301515;CC532A;Toner Yellow HP Color LaserJetCP2025/CM2320 - CC532A;EUR 96,35 ;Imediata;Supplies;Laser;Toners;;;HP;2020-04-21 06:06:59;EUR 96,35 ;EUR 0,00 
 0883585301522;CC533A;Toner Magenta HP Color LaserJet CP2025/CM2320 - CC533A;EUR 97,91 ;Imediata;Supplies;Laser;Toners;;;HP;2020-04-21 06:06:59;EUR 97,91 ;EUR 0,00 
 0884420133698;CE255A;Toner HP Preto LaserJet - 55A- CE255A;EUR 118,39 ;Imediata;Supplies;Laser;Toners;;;HP;2020-04-21 06:06:59;EUR 118,39 ;EUR 0,00 
 0884420588702;CE278A;Toner HP Preto LaserJet - 78A- CE278A;EUR 61,96 ;Imediata;Supplies;Laser;Toners;;;HP;2020-04-21 06:06:59;EUR 61,96 ;EUR 0,00 
 0884420588689;CE285A;Toner HP Preto LaserJet - 85A- CE285A;EUR 56,89 ;Imediata;Supplies;Laser;Toners;;;HP;2020-04-21 06:06:59;EUR 56,89 ;EUR 0,00 
 0883585695775;CE505A;Toner Preto HP LaserJet P2035- CE505A;EUR 75,24 ;Imediata;Supplies;Laser;Toners;;;HP;2020-04-21 06:06:59;EUR 75,24 ;EUR 0,00 
 0883585695782;CE505X;Toner Preto HP LaserJet P20506500fls - CE505X;EUR 134,86 ;Imediata;Supplies;Laser;Toners;;;HP;2020-04-21 06:06:59;EUR 134,86 ;EUR 0,00 
 0808736396318;Q2610A;Toner HP Laserjet 2300 10A Preto - Q2610A;EUR 133,73 ;Limitado;Supplies;Laser;Toners;;;HP;2020-04-21 06:06:59;EUR 133,73 ;EUR 0,00 
 0808736558136;Q2612A;Toner HP Laserjet 1010/1012/1015/3020/3030/1020 - Q2612A;EUR 64,00 ;Imediata;Supplies;Laser;Toners;;;HP;2020-04-21 06:06:59;EUR 64,00 ;EUR 0,00 
 5031713926221;9004168;Toner OKI B4520MFP/ B4540MFP/B4525MFP/ B4545MFP (6K);EUR 108,84 ;Imediata;Supplies;Laser;Toners;;;OKI;2020-04-21 06:06:59;EUR 108,84 ;EUR 0,00 
 5031713924999;42126607;Tambor OKI C5100/C5200/C5300/C5400-Cyan (17k);EUR 121,66 ;Imediata;Supplies;Laser;Toners;;;OKI;2020-04-21 06:06:59;EUR 121,66 ;EUR 0,00 
 5031713027607;42126671;Tambor OKI C5250/C5450/C5510MFP/C5540MFP-Magenta (17k);EUR 117,88 ;Imediata;Supplies;Laser;Toners;;;OKI;2020-04-21 06:06:59;EUR 117,88 ;EUR 0,00 
 5031713025788;42804506;Toner OKI C5200/C5400-Magenta(3K);EUR 95,72 ;Imediata;Supplies;Laser;Toners;;;OKI;2020-04-21 06:06:59;EUR 95,72 ;EUR 0,00 
 5031713031680;43324424;Toner OKI C5800/5900/C5550MFPBlack (6K);EUR 86,34 ;Imediata;Supplies;Laser;Toners;;;OKI;2020-04-21 06:06:59;EUR 86,34 ;EUR 0,00 
 5031713031482;43381708;Tambor OKI C5600/C5700 -Black(20k);EUR 52,04 ;Imediata;Supplies;Laser;Toners;;;OKI;2020-04-21 06:06:59;EUR 52,04 ;EUR 0,00 
 5031713031390;43381905;Toner OKI C5600/C5700-Yellow (2K);EUR 79,13 ;Imediata;Supplies;Laser;Toners;;;OKI;2020-04-21 06:06:59;EUR 79,13 ;EUR 0,00 
 5031713031406;43381906;Toner OKI C5600/C5700-Magenta(2k);EUR 79,17 ;Imediata;Supplies;Laser;Toners;;;OKI;2020-04-21 06:06:59;EUR 79,17 ;EUR 0,00 
 5031713037736;43487711;Toner OKI C8600/C8800 Cyan (6k);EUR 167,56 ;Imediata;Supplies;Laser;Toners;;;OKI;2020-04-21 06:06:59;EUR 167,56 ;EUR 0,00 
 5031713035404;43502302;Toner OKI Serie B4400/B4600 (Aprox. 3.000 páginas);EUR 55,47 ;Imediata;Supplies;Laser;Toners;;;OKI;2020-04-21 06:06:59;EUR 55,47 ;EUR 0,00 
 5031713039761;43853103;Unidade Fusora OKI C5650/C5750/C5850/5950 (60k);EUR 86,57 ;Imediata;Supplies;Laser;Toners;;;OKI;2020-04-21 06:06:59;EUR 86,57 ;EUR 0,00 
 5031713039808;43865708;Toner OKI C5650/C5750 Black (8k);EUR 107,84 ;Imediata;Supplies;Laser;Toners;;;OKI;2020-04-21 06:06:59;EUR 107,84 ;EUR 0,00 
 5031713040101;43870006;Tambor OKI C5650/C5750 Magenta(20k);EUR 49,70 ;Imediata;Supplies;Laser;Toners;;;OKI;2020-04-21 06:06:59;EUR 49,70 ;EUR 0,00 
 5031713040125;43870008;Tambor OKI C5650/C5750 Black (20k);EUR 52,15 ;Imediata;Supplies;Laser;Toners;;;OKI;2020-04-21 06:06:59;EUR 52,15 ;EUR 0,00 
 5031713039778;43872305;Toner OKI C5650/C5750 Yellow (2k);EUR 79,14 ;Imediata;Supplies;Laser;Toners;;;OKI;2020-04-21 06:06:59;EUR 79,14 ;EUR 0,00 
 5031713039785;43872306;Toner OKI C5650/C5750 Magenta(2k);EUR 79,20 ;Imediata;Supplies;Laser;Toners;;;OKI;2020-04-21 06:06:59;EUR 79,20 ;EUR 0,00 
 5031713039792;43872307;Toner OKI C5650/C5750 Cyan (2k);EUR 79,13 ;Imediata;Supplies;Laser;Toners;;;OKI;2020-04-21 06:06:59;EUR 79,13 ;EUR 0,00 
 5031713042327;43979102;Toner OKI B410,B430,B440,MB460l,MB470l,MB480L Aprox 3,5k;EUR 63,52 ;Imediata;Supplies;Laser;Toners;;;OKI;2020-04-21 06:06:59;EUR 63,52 ;EUR 0,00 
 5031713042358;43979202;Toner OKI B430,B440,MB460l,MB470l,MB480L Aprox 7k;EUR 99,08 ;Imediata;Supplies;Laser;Toners;;;OKI;2020-04-21 06:06:59;EUR 99,08 ;EUR 0,00 
 5031713043621;44059212;Toner OKI MC860 MFP-Black;EUR 73,08 ;Imediata;Supplies;Laser;Toners;;;OKI;2020-04-21 06:06:59;EUR 73,08 ;EUR 0,00 
 5031713043300;44064010;Tambor OKI C810/C830/MC860/MC851/C801/C821-Magenta 20k;EUR 92,10 ;Imediata;Supplies;Laser;Toners;;;OKI;2020-04-21 06:06:59;EUR 92,10 ;EUR 0,00 
