PRODUTO;REFERENCIA;P_LIQ;QTD_STOCK;GAMA;FAMILIA;SUB-FAMILIA;MARCA;EAN;DETALHES;IMAGEM_IMPORTADA;ETIQUETA_ENERGETICA;MANUAL_INSTRUCOES;ESQUEMA_TECNICO
PLACA CANDY CH-64-CCW;571170;196.57;0;ENCASTRE;PLACAS VITROCERAMICAS;PLACAS VITROCERAMICAS 60CM;CANDY;8016361954885;"Placa vitrocerâmica 
<br>4 zonas
<br>Cor: Vidro branco
<br>Dimensões (AxLxP): 50x590x520 mm<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/geral/571170_.jpg;;;
MAQUINA LAVAR LOUÇA ORIMA ORC-16-W;50714;152.03;0;MAQUINAS LOUÇA;MAQUINAS LAVAR LOUÇA;MAQUINAS LAVAR LOUÇA BRANCAS;ORIMA;5603883210921;"Capacidade: 12 talheres
<br>5 programas de lavagem
<br>4 temperaturas
<br>Início diferido 3/6/9 h
<br>Programa rápido 30 min.
<br>Meia-carga
<br>Indicador LED de falta de sal e de abrilhantador
<br>Protecção anti-inundações
<br>Secagem Mini Ativo
<br>Consumo anual de água: 3.360 L
<br>Consumo anual de energia: 258 Kwh
<br>Nível de ruído: 49 dB
<br>Classe de eficiência energética: A++
<br>Classe de eficiência de secagem: A
<br>Dim. produto.: A850xL600xP580 mm
<br>
<br>Disponível nas cores: branco e inox
<br>
<br>
<br><br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/050714.jpg;;;
MAQUINA LAVAR LOUÇA ORIMA ORC-16-X;50715;160.43;(5+);MAQUINAS LOUÇA;MAQUINAS LAVAR LOUÇA;MAQUINAS LAVAR LOUÇA INOX;ORIMA;5603883210938;"Capacidade: 12 talheres
<br>5 programas de lavagem
<br>4 temperaturas
<br>Início diferido 3/6/9 h
<br>Programa rápido 30 min.
<br>Meia-carga
<br>Indicador LED de falta de sal e de abrilhantador
<br>Protecção anti-inundações
<br>Secagem Mini Ativo
<br>Consumo anual de água: 3.360 L
<br>Consumo anual de energia: 258 Kwh
<br>Nível de ruído: 49 dB
<br>Classe de eficiência energética: A++
<br>Classe de eficiência de secagem: A
<br>Dim. produto.: A850xL600xP580 mm
<br>
<br>Disponível nas cores: branco e inox
<br><br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/050715.jpg;;http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/manuais/5603883210938.pdf;
CHAMINE TEKA DSH-685;100305;150.82;0;ENCASTRE;CHAMINES;CHAMINES 60CM;TEKA;8421152157336;"Capacidade de extração até 735 m3/h
<br>Barra de iluminação LED
<br>Painel de comandos eletrónico
<br>Motor Ecopower
<br>Ef. fluído dinâmica: A
<br>Ef. iluminaçao: A
<br>Ef. filtragem gordura: C
<br>Ns de Velocidades: 4
<br>Classe Energética: A
<br>Consumo: 55 kWh/ano
<br>Nº de Motores: 1
<br>Nível de Ruído: 68 dB
<br>Cor: Inox
<br>Dimensões (AxLxP): 670-1000x600x480 mm
<br><br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/100305.jpg;;;
MAQUINA LAVAR ROUPA CANDY CSO-1285-T-3-S;570101;186.28;0;MAQUINAS ROUPA;MAQUINAS LAVAR ROUPA;MAQUINAS LAVAR ROUPA 8KG;CANDY;8016361984806;"Tipo: carregamento frontal
<br>Capacidade de lavagem: 8 Kg
<br>Velocidade de centrifugação: 1200 rpm
<br>Conectividade - CANDY Smart WIFI+Buetooth
<br>Assistente de Voz - Talking Candy
<br>Display digital multifunções (Kg Detector): (5 Digitos)
<br>Indicador digital de contagem remanescente
<br>Programador electrónico soft e bidireccional
<br>Velocidade de centrifugação regulável
<br>Início diferido: 1 - 24 h
<br>Vapor
<br>Capacidade variável automática (Fuzzy Logic)
<br>Cuba em Silitech
<br>Tambor em aço inoxidável
<br>35 cm de diâmetro do óculo (cm)
<br>Abertura do óculo: 180º
<br>Cor do óculo: Branco
<br>Amortecedores telescópicos
<br>Tubo de drenagem
<br>4 pés reguláveis
<br>Bloqueio da porta
<br>Protecção anti-transbordo
<br>Sensor anti-espuma
<br>Gestão electrónica da centrifugação
<br>Sensor electrónico Anti-Desequilíbrio
<br>Start/Pause (Ligar/Pausa)
<br>Opção (Enxaguamento Extra / Pré-Lavagem / Engomar Fácil)
<br>Rápidos / grau de sujidade
<br>Seleção da centrifugação
<br>Seleção da temperatura
<br>Início diferido
<br>Bloqueio de segurança para crianças
<br>Cor: Branco
<br>Classe de eficiência energética: A+++
<br>Dimensões (AxLxP): 850x600x520 mm<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/570101.jpg;;;
FRIGORIFICO CANDY CMDDS-5142-XH;570378;190.48;4;FRIO;FRIGORIFICOS 2 PORTAS;FRIGORIFICOS 2P 140-149CM;CANDY;8016361961388;"Frigorífico 2 portas
<br>Tecnologia: Tradicional
<br>Volume total útil: 204 l
<br>Volume total bruto: 210 l
<br>Volume útil do frigorífico: 164 L
<br>Volume útil do congelador: 40 l
<br>Número de compressores: 1
<br>Sistema de descongelação do frigorífico: Manual
<br>Sistema de descongelação do congelador: Manual
<br>Iluminação por LED no interior: na lateral
<br>Nº de prateleiras em vidro ajustáveis: 2 + 1 
<br>Nº de prateleiras transparentes na porta: 3
<br>Nº de gavetas para frutos e vegetais: 1
<br>Compartimento para ovos 
<br>Kit indentificação da bactéria Lysteria
<br>Nº de prateleiras: 1 em vidro
<br>Suporte para gelo
<br>Consumo de energia em 24h: 0,594 kWh
<br>Consumo de energia anual: 217 kWh
<br>Nível de ruído: 40 dBA
<br>Capacidade de congelação em 24h: 2 Kg
<br>Autonomia: 21 h
<br>Pés ajustáveis: 2
<br>Portas reversíveis
<br>Cor / material da porta: Inox
<br>Classe de eficiência energética: A+
<br>Dimensões (AxLxP): 1430x550x550 mm<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/570378.jpg;;;
VITRINE VINHOS CANDY CWC-150-EU;570379;149.71;1;INDUSTRIAL;HOTELARIA;VITRINES ARREFECEDORAS;CANDY;8016361961982;"Volume total bruto: 126 l
<br>Volume útil: 121 l
<br>Capacidade total para garrafas: 42
<br>Número de compressores: 1
<br>Número de Zonas: 1
<br>Material da porta: Totalmente em vidro (2 vidros)
<br>Material do corpo: Metálico
<br>Pega: Recuada em Preto
<br>Acabamento do Vidro: Transparente
<br>Comandos: por botão
<br>Número de prateleiras com ondulação: 6
<br>Material das prateleiras: Aro cromado
<br>Número de suportes para garrafas de vinho: 6
<br>Material dos suportes: Cromado
<br>Luz: Integrada no comando mecânico
<br>Tipo de Luz: Led, Branca
<br>Consumo de energia anual (etiqueta nova): 198 kWh
<br>Nível de ruído (actual): 39 dBA
<br>Classe climatérica: ST (18ºC-38ºC)
<br>Gás refrigerante: R600a
<br>Temperatura atingida no interior: 7º - 18º C
<br>Nº de pés ajustáveis
<br>Portas reversíveis
<br>Cor: Preto
<br>Classe de eficiência energética: B
<br>Dimensões (AxLxP): 845x490x535 mm<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/570379.jpg;;;
COMBINADO CANDY CHSB-6186-W;570583;296.84;0;FRIO;COMBINADOS;COMBINADOS 180-189CM;CANDY;8016361968042;"Tecnologia: Tradicional
<br>Volume total útil: 307 L
<br>Volume total bruto: 324 L
<br>Volume útil do frigorífico: 223 L
<br>Volume útil do congelador: 84 L
<br>Fecho suave da porta ?Soft Close?
<br>Número de compressores: 1
<br>Tecnologia: Tradicional
<br>Inverter
<br>Sistema de descongelação do frigorífico: Manual
<br>Sistema de descongelação do congelador: Manual
<br>Comandos: Mecânicos
<br>Iluminação por LED no interior: Sky LED
<br>Nº de prateleiras em vidro ajustáveis: 2+1+1 (com perfil em vidro)
<br>Nº de prateleiras na porta: 3 (com perfil em Silver)
<br>Zona temp. Controlada 0º-3º (Biosafe - antibacteriana)
<br>Suporte para garrafas em metal
<br>Terminal para garrafas
<br>Gavetas para frutos e vegetais: 1
<br>Compartimento para ovos
<br>Kit indentificação da bactéria ?Lysteria?
<br>Nº de gavetas de congelação transparentes: 3
<br>Suporte para gelo
<br>Consumo de energia em 24h: 0,404 kWh
<br>Consumo de energia anual: 147 kWh
<br>Nível de ruído: 42 dBA
<br>Capacidade de congelação em 24h: 4 Kg
<br>Autonomia: 22 h
<br>Classe climática: T (18º-43ºC)
<br>Gás refrigerante: R600a
<br>Número de estrelas do congelador: 4
<br>Pés ajustáveis: 2
<br>Portas reversíveis
<br>Cor / material da porta: Branco
<br>Cor / material do corpo: Branco
<br>Pegas das portas: Integradas
<br>Classe de eficiência energética: A+++
<br>Dimensões (AxLxP): 1870x600x600 mm<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/570583.jpg;;;
COMBINADO CANDY CHSB-6186-X;570584;336.83;0;FRIO;COMBINADOS;COMBINADOS 180-189CM;CANDY;8016361968059;"Tecnologia: Tradicional
<br>Volume total útil: 307 L
<br>Volume total bruto: 324 L
<br>Volume útil do frigorífico: 223 L
<br>Volume útil do congelador: 84 L
<br>Fecho suave da porta ?Soft Close?
<br>Número de compressores: 1
<br>Tecnologia: Tradicional
<br>Inverter
<br>Sistema de descongelação do frigorífico: Manual
<br>Sistema de descongelação do congelador: Manual
<br>Comandos: Mecânicos
<br>Iluminação por LED no interior: Sky LED
<br>Nº de prateleiras em vidro ajustáveis: 2+1+1 (com perfil em vidro)
<br>Nº de prateleiras na porta: 3 (com perfil em Silver)
<br>Zona temp. Controlada 0º-3º (Biosafe - antibacteriana)
<br>Suporte para garrafas em metal
<br>Terminal para garrafas
<br>Gavetas para frutos e vegetais: 1
<br>Compartimento para ovos
<br>Kit indentificação da bactéria ?Lysteria?
<br>Nº de gavetas de congelação transparentes: 3
<br>Suporte para gelo
<br>Consumo de energia em 24h: 0,404 kWh
<br>Consumo de energia anual: 147 kWh
<br>Nível de ruído: 42 dBA
<br>Capacidade de congelação em 24h: 4 Kg
<br>Autonomia: 22 h
<br>Classe climática: T (18º-43ºC)
<br>Gás refrigerante: R600a
<br>Número de estrelas do congelador: 4
<br>Pés ajustáveis: 2
<br>Portas reversíveis
<br>Cor / material da porta: Inox
<br>Pegas das portas: Integradas
<br>Classe de eficiência energética: A+++
<br>Dimensões (AxLxP): 1870x600x600 mm<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/570584.jpg;;;
MAQUINA LAVAR ROUPA CANDY CSO-1295-T-3;570698;203.31;0;MAQUINAS ROUPA;MAQUINAS LAVAR ROUPA;MAQUINAS LAVAR ROUPA 9KG;CANDY;8016361984813;"Tipo: carregamento frontal
<br>Capacidade de lavagem: 9 Kg
<br>Velocidade de centrifugação: 1200 rpm
<br>Conectividade - CANDY Smart WIFI+Buetooth
<br>Assistente de Voz - Talking Candy
<br>Display digital multifunções (Kg Detector): (5 Digitos)
<br>Indicador digital de contagem remanescente
<br>Programador electrónico soft e bidireccional
<br>Velocidade de centrifugação regulável
<br>Início diferido: 1 - 24 h
<br>Vapor
<br>Capacidade variável automática (Fuzzy Logic)
<br>Cuba em Silitech
<br>Tambor em aço inoxidável
<br>35 cm de diâmetro do óculo (cm)
<br>Abertura do óculo: 180º
<br>Cor do óculo: Branco
<br>Amortecedores telescópicos
<br>Tubo de drenagem
<br>4 pés reguláveis
<br>Bloqueio da porta
<br>Protecção anti-transbordo
<br>Sensor anti-espuma
<br>Gestão electrónica da centrifugação
<br>Sensor electrónico Anti-Desequilíbrio
<br>Start/Pause (Ligar/Pausa)
<br>Opção (Enxaguamento Extra / Pré-Lavagem / Engomar Fácil)
<br>Rápidos / grau de sujidade
<br>Seleção da centrifugação
<br>Seleção da temperatura
<br>Início diferido
<br>Bloqueio de segurança para crianças
<br>Cor: Branco
<br>Classe de eficiência energética: A+++
<br>Dimensões (AxLxP): 850x600x520 mm<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/570698.jpg;;;
MAQUINA LAVAR LOUÇA CANDY CDPN-4-D-620-PW;570779;281.17;0;MAQUINAS LOUÇA;MAQUINAS LAVAR LOUÇA;MAQUINAS LAVAR LOUÇA BRANCAS;CANDY;8016361974616;"Capacidade: 16 Talheres
<br>Nº de Programas: 10
<br>Nº de Temperaturas: 8
<br>Consumo de Água:10 Lts
<br>Display multifunções por toque (5 dígitos)
<br>Programador electrónico de teclas por toque
<br>Addish
<br>Indicador digital de tempo remanescente
<br>Início diferido de 1 a 23 horas
<br>Indicador luminoso de falta de sal e abrilhantador
<br>Super Silent
<br>Motor Inverter
<br>Impulse Wash
<br>Wi-Fi + Bluetooth
<br>Acessório Zoom
<br>Resistência oculta
<br>Grelha ajustável no cesto inferior
<br>Cesto para cutelaria
<br>Dispositivo duplo anti-derrame
<br>Aquaprotect
<br>Cor:Branco
<br>Eficiência Lavagem: A
<br>Eficiência Secagem: A
<br>Classe Energética: A+++
<br>Dimensões (AxLxP): 850x600x600 mm
<br><br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/570779.jpg;;;
MAQUINA LAVAR LOUÇA CANDY CDPN-2-D-620-PW;570780;247.68;2;MAQUINAS LOUÇA;MAQUINAS LAVAR LOUÇA;MAQUINAS LAVAR LOUÇA BRANCAS;CANDY;8016361988354;"Capacidade: 16 Talheres
<br>Nº de Programas: 10
<br>Nº de Temperaturas: 8
<br>Consumo de Água:10 Lts
<br>Display multifunções por toque (5 dígitos)
<br>Programador electrónico de teclas por toque
<br>Addish
<br>Indicador digital de tempo remanescente
<br>Início diferido de 1 a 23 horas
<br>Indicador luminoso de falta de sal e abrilhantador
<br>Super Silent
<br>Motor Inverter
<br>Impulse Wash
<br>Wi-Fi + Bluetooth
<br>Resistência oculta
<br>Cesto superior ajustável CLICK CLACK
<br>Cesto para cutelaria
<br>Dispositivo duplo anti-derrame
<br>Cor: Branco
<br>Classe Energética: A++
<br>Eficiência Lavagem: A
<br>Eficiência Secagem: A
<br>Dimensões (AxLxP): 850x600x600 mm
<br><br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/570780.jpg;;;
MAQUINA LAVAR LOUÇA CANDY CDPN-2-D-360-PX;570781;269.01;0;MAQUINAS LOUÇA;MAQUINAS LAVAR LOUÇA;MAQUINAS LAVAR LOUÇA INOX;CANDY;8016361983632;"Capacidade (talheres): 13
<br>Níveis de lavagem (cestos): 2
<br>Addish (possibilidade de adicionar loiça depois do programa ter inciado)
<br>Display multifunções: por toque (5 Digitos)
<br>Programador electrónico: de teclas por toque
<br>Indicador digital de tempo remanescente
<br>Início diferido: 1-23 h
<br>Super silent:
<br>Motor Inverter
<br>Impluse Wash
<br>Conectividade Simply-Fi: WIFI+Bluetooth
<br>Sistema de secagem: por condensação
<br>Cuba e interior da porta em aço inoxidável AISI 304
<br>Resistência oculta
<br>Níveis de desclacificação: 7
<br>Programas: 10
<br>Nº temperaturas: 8
<br>Porta auto compensada
<br>Triplo microfiltro autolimpante em aço inoxidável
<br>Cesto superior de grandes dimensões XL
<br>Cesto superior ajustável: CLICK CLACK
<br>Cesto para cutelaria
<br>Cestos: dark grey
<br>Pastilhas (todos em 1)
<br>Indicador luminoso de falta de sal
<br>Sinal acústico
<br>Dispositivo duplo anti-derrame
<br>Sistema de segurança do cesto inferior
<br>Cor: Inox
<br>Classe de eficiência energética: A++
<br>Dimensões do produto AxLxP: 850x600x600 mm<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/570781.jpg;;;
MAQUINA LAVAR LOUÇA CANDY CDPN-4-S-603-PW;570782;321.07;0;MAQUINAS LOUÇA;MAQUINAS LAVAR LOUÇA;MAQUINAS LAVAR LOUÇA BRANCAS;CANDY;8016361974630;"Número de talheres:	16
<br>Power Wash /Zona Rápida Perfeita
<br>Terceiro cesto	
<br>Abertura automática da porta	
<br>Cesto superior ajustável com carga completa (easy lift)
<br>Sistema de segurança do cesto inferior	
<br>Sistema de tripla filtragem por auto-limpeza	
<br>Conetividade: Wi-Fi + Bluetooth
<br>Sistema de secagem: Condensação
<br>Controlo electrónico por botões: Smooth Touch
<br>Lavagem de impulso
<br>Aquastop
<br>Indicador de final do ciclo: com buzzer
<br>Número de programas: 12
<br>Opções de início diferido: até 24 h
<br>Luz indicadora do sal
<br>Luz indicadora do abrilhantador
<br>Desempenho da secagem: A
<br>Consumo de energia (kWh): 0,77
<br>Consumo anual de energia:219
<br>Desempenho de limpeza: A
<br>Consumo de água (l): 10
<br>Consumo de água anual (l/ano) - NOVA (2010/30/EC)): 2880
<br>Nível de ruído dB(A) re 1 pW - potência do som	41
<br>Cor: Branco
<br>Classe de eficiência energética - NOVO (2010/30 / CE): A+++
<br>Dimensões (AxLxP): 850x600x600 mm<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/570782.jpg;;;
MAQUINA LAVAR LOUÇA CANDY CDPMN-4-S-622-PX;570783;353.17;0;MAQUINAS LOUÇA;MAQUINAS LAVAR LOUÇA;MAQUINAS LAVAR LOUÇA INOX;CANDY;8016361983748;"Número de talheres: 16
<br>Maxi Plates	
<br>Terceiro cesto	
<br>Abertura automática da porta	
<br>Cesto superior ajustável	
<br>Sistema de segurança do cesto inferior	
<br>Sistema de tripla filtragem por auto-limpeza
<br>Conetividade: Wi-Fi + Bluetooth
<br>Sistema de secagem: Condensação
<br>Controlo electrónico por botões: Smooth Touch
<br>Lavagem de impulso	
<br>Aquaprotect	
<br>Indicador de final do ciclo com buzzer
<br>Meia-carga
<br>Número de programas: 12
<br>Opções de início diferido até 24 h
<br>Luz indicadora do sal
<br>Luz indicadora do abrilhantador
<br>Desempenho da secagem: A
<br>Consumo de energia (kWh): 0,85
<br>Consumo anual de energia: 244
<br>Desempenho de limpeza: A
<br>Consumo de água (l): 10
<br>Consumo de água anual (l/ano) - NOVA (2010/30/EC)): 2880
<br>Nível de ruído dB(A) re 1 pW - potência do som: 43
<br>Cor: Inox
<br>Classe de eficiência energética - NOVO (2010/30 / CE): A+++
<br>Dimensões (AxLxP): 850x600x600 mm	<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/570783.jpg;;;
MAQUINA LAVAR LOUÇA CANDY CDPN-1-L-390-PX;570784;242.11;(5+);MAQUINAS LOUÇA;MAQUINAS LAVAR LOUÇA;MAQUINAS LAVAR LOUÇA INOX;CANDY;8016361983670;"Capacidade (talheres): 13
<br>Níveis de lavagem (cestos): 2
<br>Addish (possibilidade de adicionar loiça depois do programa ter inciado)
<br>Programador electrónico: de teclas de pressão
<br>Indicadores luminosos das fases do programa
<br>Início diferido: 3-6-9 h
<br>Conectividade Simply-Fi: WIFI+Bluetooth
<br>Sistema de secagem: por condensação
<br>Cuba e interior da porta em aço inoxidável AISI 304
<br>Resistência oculta
<br>Níveis de desclacificação: 5
<br>Programas: 5
<br>Nº temperaturas: 3
<br>Porta auto compensada
<br>Triplo microfiltro autolimpante em aço inoxidável
<br>Cesto superior de grandes dimensões XL
<br>Cesto superior ajustável: CLICK CLACK
<br>Cesto para cutelaria
<br>Cestos: dark grey
<br>Botão Express (reduzção de tempo -30%, -50%)
<br>Indicador luminoso de falta de sal
<br>Bloqueio para crianças
<br>Sinal acústico
<br>Dispositivo duplo anti-derrame
<br>Sistema de segurança do cesto inferior
<br>Consumo de energia: 1,04 kWh
<br>Consumo de água: 11 l
<br>Consumo de água / energia médio estimado para um ano: 3120 l / 295 kWh
<br>Nível de ruído (db (A) re 1 pw) - ciclo normativo: 54 dBA
<br>Cor: Inox
<br>Classe de eficiência energética: A+
<br>Classe de eficiência de lavagem: A
<br>Classe de eficiência de secagem: A
<br>Dimensões (AxLxP): 850x600x600 mm
<br><br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/570784.jpg;;;
MAQUINA LAVAR LOUÇA CANDY CDPN-1-L-390-PW;570785;PRICE_LIQ_96621;5;MAQUINAS LOUÇA;MAQUINAS LAVAR LOUÇA;MAQUINAS LAVAR LOUÇA BRANCAS;CANDY;8016361974593;"Capacidade (talheres): 13
<br>Níveis de lavagem (cestos): 2
<br>Addish (possibilidade de adicionar loiça depois do programa ter inciado)
<br>Programador electrónico: de teclas de pressão
<br>Indicadores luminosos das fases do programa
<br>Início diferido: 3-6-9 h
<br>Conectividade Simply-Fi: WIFI+Bluetooth
<br>Sistema de secagem: por condensação
<br>Cuba e interior da porta em aço inoxidável AISI 304
<br>Resistência oculta
<br>Níveis de desclacificação: 5
<br>Programas: 5
<br>Nº temperaturas: 3
<br>Porta auto compensada
<br>Triplo microfiltro autolimpante em aço inoxidável
<br>Cesto superior de grandes dimensões XL
<br>Cesto superior ajustável: CLICK CLACK
<br>Cesto para cutelaria
<br>Cestos: dark grey
<br>Botão Express (reduzção de tempo -30%, -50%)
<br>Indicador luminoso de falta de sal
<br>Bloqueio para crianças
<br>Sinal acústico
<br>Dispositivo duplo anti-derrame
<br>Sistema de segurança do cesto inferior
<br>Classe de eficiência de lavagem: A
<br>Classe de eficiência de secagem: A
<br>Consumo de energia: 1,04 kWh
<br>Consumo de água: 11 l
<br>Consumo de água / energia médio estimado para um ano: 3120 l / 295 kWh
<br>Nível de ruído (db (A) re 1 pw) - ciclo normativo: 54 dBA
<br>Cor: Branco
<br>Classe de eficiência energética: A+
<br>Dimensões (AxLxP): 850x600x600 mm<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/570785.jpg;;;
MAQUINA LAVAR LOUÇA CANDY CDIN-2-D-620-PB;570786;285.76;1;ENCASTRE;MAQUINAS LAVAR LOUÇA ENCASTRE;MAQUINAS LAVAR LOUÇA ENCASTRE TOTAL;CANDY;8016361984097;"Capacidade (talheres): 16
<br>Super silent: 43 dBA
<br>Instalação: totalmente integrável
<br>Addish (possibilidade de adicionar loiça depois do programa ter inciado)
<br>Display multifunções: por toque (5 Digitos)
<br>Programador electrónico: de teclas por toque
<br>Indicador digital de fases do programa
<br>Início diferido: 1-23 h
<br>Motor Inverter
<br>Impluse Wash
<br>Conectividade Simply-Fi: WIFI+Bluetooth
<br>Sistema de secagem: por condensação
<br>Cor do painel: Preto
<br>Resistência oculta
<br>Níveis de desclacificação: 7
<br>Programas: 9
<br>Temperaturas: 6
<br>Porta auto compensada
<br>Triplo microfiltro autolimpante em aço inoxidável
<br>Cesto superior de grandes dimensões XL
<br>Cesto superior ajustável: CLICK CLACK
<br>Cesto inferior XXL: com suportes laterais
<br>Grelha ajustável no cesto inferior
<br>Cesto para cutelaria
<br>Cestos: dark grey
<br>Botão Express (reduzção de tempo -30%, -50%)
<br>Pastilhas (todos em 1)
<br>Indicador luminoso de falta de sal
<br>Sinal acústico
<br>Dispositivo duplo anti-derrame
<br>Sistema de segurança do cesto inferior
<br>Consumo de energia: 0,95 kWh
<br>Consumo de água: 10 l
<br>Tempo do ciclo normativo: 170 min
<br>Consumo de água / energia médio estimado para um ano (consumo estimado para 280 lavagens): 2880 l / 273 kWh
<br>Classe de eficiência energética: A++
<br>Nível de ruído (db (A) re 1 pw): 43 dBA
<br>Dimensões (AxLxP): 818/898x598x550 mm
<br>Dimensões necessárias para o encastre (AxLxP): 820/900x600x550 mm<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/geral/570786_.jpg;;;
MAQUINA LAVAR LOUÇA CANDY CDIN-2-L-360-PB;570787;269.15;(5+);ENCASTRE;MAQUINAS LAVAR LOUÇA ENCASTRE;MAQUINAS LAVAR LOUÇA ENCASTRE TOTAL;CANDY;8016361983786;"Capacidade:13 Talheres
<br>Nº de Programas:5
<br>Nº de Temperaturas:3
<br>Programador eletrónico de teclas por toque
<br>Addish
<br>Indicadores luminosos das fases do programa
<br>Indicador luminoso de falta de sal
<br>Início diferido 3, 6 e 9 horas
<br>Botão Express
<br>Impulse Wash
<br>WIFI + Bluetooth
<br>Resistência oculta
<br>5 níveis descalcificação
<br>Sinal acústico
<br>Cesto superior de grandes dimensões XL
<br>Cesto superior ajustável
<br>Grelha ajustável no cesto inferior
<br>Cesto para cutelaria
<br>Dispositivo duplo anti-derrame
<br>Consumo de Água:9,7 Lts
<br>Classe Energética:A++
<br>Eficiência Lavagem:A
<br>Eficiência Secagem:A
<br>Dimensões (AxLxP): 818/898x598x550 mm
<br><br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/geral/570787_.jpg;;;
SECADOR ROUPA CANDY CSOH-8-A-2-TE;570828;295.81;0;MAQUINAS ROUPA;SECADORES ROUPA BOMBA CALOR;SECADORES ROUPA BOMBA CALOR 8KG;CANDY;8016361993327;"8 kg
<br>Tipo de secagem: Condensação
<br>Tecnologia com bomba de calor
<br>WIFI+Buetooth
<br>Display digital  XL
<br>Material do tambor: Galvanizado Soft Care
<br>Sensor de secagem (sensor de humidade)
<br>Programador electrónico bi-direccional
<br>Arrefecimento e sistema de prevenção de rugas no fim do ciclo
<br>Temperaturas: 2 + a frio
<br>4 Níveis de secagem
<br>Secagem por tempo - especial cargas pequenas
<br>Suporte para ténis
<br>Inicio diferido: 1-24h
<br>Rotação alternada
<br>Gestão automática da carga - optimização dos consumos 
<br>Kit Drenagem
<br>Nº de Programas: 14
<br>Limpeza fácil do filtro 
<br>Sistema de segurança da porta
<br>150º de ângulo de abertura da porta
<br>Cor: Branco
<br>Classe energética: A++
<br>Dimensões (AxLxP): 850x600x600 mm
<br><br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/570828.jpg;;;
SECADOR ROUPA CANDY CSOC-10-TE;570829;208.71;0;MAQUINAS ROUPA;SECADORES ROUPA CONDENSAÇAO;SECADORES ROUPA CONDENSAÇAO = >10KG;CANDY;8016361990746;"10 kg
<br>Tipo de secagem: Condensação
<br>WIFI+Buetooth
<br>Display digital  XL
<br>Material do tambor: Galvanizado Soft Care
<br>Sensor de secagem (sensor de humidade)
<br>Programador electrónico bi-direccional
<br>Arrefecimento e sistema de prevenção de rugas no fim do ciclo
<br>Temperaturas: 2 + a frio
<br>4 Níveis de secagem
<br>Secagem por tempo - especial cargas pequenas
<br>Suporte para ténis
<br>Inicio diferido: 1-24h
<br>Rotação alternada
<br>Gestão automática da carga - optimização dos consumos 
<br>Kit Drenagem
<br>Nº de Programas: 14
<br>Limpeza fácil do filtro 
<br>Sistema de segurança da porta
<br>150º de ângulo de abertura da porta
<br>Cor: Branco
<br>Classe energética: B
<br>Dimensões (AxLxP): 850x600x600 mm
<br>
<br><br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/570829.jpg;;;
FORNO CANDY FCXP-825-XEO/E;571067;264.43;0;ENCASTRE;FORNOS;FORNOS MULTIFUNÇOES;CANDY;8016361967717;"Forno multifunções
<br>Capacidade: 80 litros
<br>60 cm
<br>10 funções
<br>Conectividade: Wi-Fi + Bluetooth
<br>Acabamento: Inox
<br>Dimensões (AxLxP): 595x595x570 mm
<br>Dimensões encastre (AxLxP): 590x590x560 mm
<br><br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/571067.jpg;;;
